word;Translation;Asso;F;Asso;F;Asso;F;total;t=x;T>1;T
helikopter;helicopter;vliegen;40;lucht;22;schroef;18;264;3;28;108
helm;helmet;fiets;27;brommer;26;vallen;17;270;3;29;106
hemd;shirt;das;24;man;20;wit;15;270;5;39;110
hemel;heaven;blauw;39;wolken;29;god;21;246;0;22;64
hengel;fishing rod;vissen;42;vis;39;water;21;270;8;24;82
herbivoor;herbivore;gras;25;koe;19;dier;18;306;41;30;90
hert;deer;bos;42;bambi;32;dier;31;270;3;24;85
hesp;ham;kaas;28;vlees;24;varken;21;267;1;34;80
hobby;hobby;vrijetijd;23;ontspanning;21;sport;12;306;5;43;148
hoed;hat;hoofd;22;man;15;zwart;8;270;5;41;131
hoef;hoof;paard;80;smid;31;ijzer;24;249;1;16;62
hoefijzer;horseshoe;paard;83;geluk;58;smid;28;258;2;17;59
hommel;bumblebee;bij;50;dik;16;steek;15;270;0;29;80
hond;dog;blaffen;17;kat;16;huisdier;12;270;3;39;121
honing;honey;bij;64;zoet;48;geel;21;270;3;24;61
hoofd;head;haar;47;ogen;31;hersenen;21;312;5;29;98
hoog;high;laag;42;berg;18;toren;15;267;5;33;84
hooi;hay;boer;19;gras;16;paard;15;246;1;41;85
hoorn;horn;telefoon;14;muziek;13;blazen;13;246;3;40;121
horen;to hear;oor;38;muziek;29;luisteren;27;261;0;23;60
horloge;watch;tijd;51;uur;27;pols;16;246;1;32;83
hout;wood;boom;42;bos;25;vuur;21;270;2;39;92
houtklem;clamp;hout;24;lijm;7;bos;6;282;106;32;92
houweel;pickaxe;werktuig;10;mijn;9;ijzer;9;264;32;41;113
hovercraft;hovercraft;water;42;boot;30;zee;24;270;28;28;80
huilen;to cry;verdriet;49;tranen;36;wenen;25;267;3;23;76
huis;house;tuin;26;dak;21;thuis;21;267;2;37;97
huisdier;pet;hond;77;kat;62;vis;19;270;0;23;63
iglo;igloo;eskimo;80;ijs;52;koud;46;342;3;30;75
iguanodon;iguanodon;dinosaurus;25;reptiel;12;groen;10;294;109;20;95
ijs;ice;koud;50;zomer;24;lekker;23;270;5;26;95
ijsbeer;polar bear;wit;52;koud;35;noordpool;20;270;1;28;66
ijshockey;lettuce;ijs;30;schaatsen;25;puck;24;267;0;31;84
ijsje;icecream;koud;32;lekker;31;zomer;27;270;0;30;87
ijskast;fridge;koud;52;eten;40;frigo;15;276;1;32;69
ijzer;iron;metaal;23;hard;21;grijs;18;267;5;31;115
inbraak;burglary;dief;51;politie;24;diefstal;12;270;3;34;81
inbreken;burglary;dief;57;stelen;18;huis;13;270;4;34;80
indiaan;American Indian;veren;18;tent;15;amerika;14;270;4;34;100
informaticus;information scientist;computer;63;saai;18;bril;12;264;9;31;93
inkt;ink;pen;73;blauw;40;schrijven;26;315;3;26;75
inktvis;squid;zee;34;inkt;22;tentakels;17;270;8;33;100
insect;insect;vlieg;36;mug;23;klein;19;270;0;33;96
instrument;instrument;muziek;43;gitaar;30;piano;29;270;1;28;87
iris;iris;bloem;62;oog;47;blauw;11;246;5;23;64
Italië;Italy;rome;31;pizza;25;zon;22;270;5;28;99
jacht;yacht;geweer;43;boot;24;dieren;16;312;1;33;106
japan;Japan;geel;20;china;17;spleetogen;15;270;1;40;117
jas;coat;warm;38;winter;33;regen;26;270;3;35;83
jazz;jazz;muziek;44;saxofoon;38;trompet;12;270;8;29;109
jeans;jeans;broek;50;blauw;46;levis;11;270;6;34;102
jeep;jeep;auto;38;modder;18;safari;18;270;9;35;123
jeuk;itch;krabben;62;uitslag;19;mug;15;270;6;29;80
jezus;jesus;god;37;kruis;27;bijbel;24;264;0;25;75
jogging;tracksuit;lopen;68;sport;33;broek;17;399;4;53;149
jojo;jojo;speelgoed;28;kind;20;openneer;19;285;7;36;110
jongen;boy;meisje;43;man;21;voetbal;13;246;9;35;94
jongeren;youngsters;jeugd;18;uitgaan;16;school;16;246;2;39;108
judo;judo;sport;31;gordel;20;vechten;17;270;3;43;92
jungle;jungle;groen;24;oerwoud;20;tarzan;18;264;0;34;92
jurk;dress;zomer;24;vrouw;19;meisje;18;270;5;32;106
kaaiman;caiman;krokodil;61;water;14;alligator;13;270;19;28;106
kaars;candle;licht;47;vlam;36;gezellig;25;315;1;31;81
kaarten;to play cards;spel;25;spelen;16;harten;8;246;0;40;119
kaas;cheese;geel;37;gaten;19;lekker;17;267;1;31;88
kabeljauw;cod;vis;81;zee;35;eten;31;270;1;22;76
kabouter;gnome;klein;35;paddestoel;31;plop;29;246;0;20;58
kado;gift;verjaardag;33;strik;21;verrassing;14;246;0;31;91
kakkerlak;cockroach;vies;48;insect;20;vuil;19;270;4;27;101
kalkoen;turkey;kerstmis;52;kip;26;eten;16;267;0;35;95
kam;comb;haar;71;borstel;30;kapper;13;246;5;25;82
kameel;camel;woestijn;70;water;25;bult;25;270;4;21;62
kameleon;chameleon;kleuren;33;dier;20;kleur;17;270;5;39;92
kampvuur;camp fire;gezellig;30;warm;20;hout;19;276;1;34;79
kan;can;water;37;koffie;22;melk;20;249;6;31;90
kanarie;canary;geel;78;vogel;40;kooi;36;267;5;20;62
kangoeroe;kangaroo;australie;71;buidel;48;springen;39;270;1;19;62
kano;canoe;water;42;varen;27;rivier;17;246;1;25;77
kanon;canon;oorlog;47;kogel;25;dullegriet;9;282;0;38;106
kant;side / lace;brugge;37;wit;19;stof;15;270;2;38;124
kapitein;captain;schip;52;boot;35;zee;26;285;1;32;85
kapstok;peg;jas;49;hoed;10;hout;9;246;4;33;97
kar;cart;paard;41;wiel;28;hout;23;270;2;27;98
karper;carp;vis;68;water;28;zee;18;267;9;22;70
karton;cardboard;doos;55;papier;43;bruin;18;246;6;20;79
kassa;check-out;geld;63;winkel;35;betalen;23;255;1;24;89
kast;cupboard/closet;kleren;41;hout;33;bruin;12;270;3;33;85
kasteel;castle;ridder;21;middeleeuwen;19;koning;12;270;0;35;118
kat;cat;hond;23;zacht;15;lief;15;267;4;33;105
katapult;slingshot;steen;35;schieten;17;elastiek;17;279;5;30;116
kerk;church;kruis;23;priester;18;mis;16;270;2;30;110
kermis;fair;smoutebollen;23;feest;10;botsautos;10;249;2;38;109
kers;cherry;rood;54;fruit;22;lekker;19;270;11;28;73
kerstman;Santa Claus;kerstmis;27;rood;22;kerstboom;20;246;2;33;75
kerstmis;Christmas;kerstboom;37;feest;15;familie;15;270;1;29;83
kervel;chervil;soep;71;groen;42;groente;23;270;26;20;63
ketel;kettle;vuur;27;water;22;soep;22;267;6;28;85
ketting;chain;fiets;25;hals;16;goud;15;246;6;37;103
keu;cue;biljart;53;stok;20;bal;14;246;17;24;68
keuken;kitchen;eten;55;koken;34;tafel;14;270;5;33;98
keukengerief;kitchen utensil;mes;42;lepel;34;vork;26;297;1;27;82
kever;beetle;insect;25;auto;17;zwart;17;270;3;34;103
kievit;lapwing;vogel;83;ei;11;vliegen;10;303;27;32;102
kikker;frog;groen;56;vijver;28;water;14;270;3;29;92
kind;child;klein;29;jong;20;spelen;15;270;10;35;118
kinderbed;child's bed;baby;35;klein;20;slapen;17;273;3;38;114
kinderen;children;spelen;26;klein;22;lawaai;13;267;6;37;115
kinderstoel;baby-chair;baby;41;eten;23;auto;20;246;1;30;97
kinderwagen;buggy;baby;51;wandelen;13;buggy;10;246;2;29;108
kinesist;physiotherapist;pijn;31;massage;28;dokter;16;270;7;33;103
kip;chicken;ei;42;haan;22;eten;13;270;4;44;89
kist;coffin;dood;36;hout;20;schat;18;246;2;34;105
kiwi;kiwi;groen;56;fruit;34;lekker;16;270;4;30;76
klak;cap;pet;59;geluid;14;hoofddeksel;10;246;22;23;106
klaproos;poppy;rood;67;bloem;35;mooi;12;252;3;24;92
klarinet;clarinet;muziek;64;instrument;25;orkest;10;270;4;34;85
klas;classroom;school;31;leerlingen;15;bord;13;246;0;30;101
klavecimbel;harpsichord;muziek;57;piano;24;orkest;18;270;16;23;87
kleding;clothing;broek;28;trui;14;mooi;12;270;0;32;114
kleed;dress;vrouw;22;zomer;20;jurk;19;270;7;34;87
kleerkast;wardrobe;kleren;44;slaapkamer;17;kledij;12;246;5;32;97
klein;small;groot;43;dwerg;17;kabouter;17;270;11;28;99
kleren;clothing;broek;25;winkel;21;mode;17;270;2;36;93
kleur;color;rood;49;blauw;45;groen;32;294;5;25;74
kleuren;colors;rood;49;blauw;29;geel;27;270;4;19;75
klimmen;to climb;berg;31;touw;18;hoog;15;270;11;38;103
klink;doornob;deur;72;openen;12;metaal;10;246;20;27;74
klok;clock;tijd;44;uur;37;wijzer;32;267;2;25;80
kloppen;to knock;deur;68;hamer;33;slaan;23;270;3;25;82
klopper;whisk;slagroom;45;keuken;39;deur;37;585;22;60;160
kluis;safe;geld;68;bank;42;code;12;246;0;23;76
knaagdier;rodent;rat;61;konijn;39;muis;31;303;3;22;84
knie;knee;been;30;pijn;22;gewricht;21;246;7;30;92
knippen;to cut;schaar;69;haar;39;papier;34;270;5;19;69
knol;tuber;paard;49;selder;22;wortel;21;306;4;36;79
knoop;button;touw;31;jas;20;hemd;13;246;1;33;89
knopen;to tie, to knot;jas;31;touw;17;hemd;15;267;7;32;107
knuffel;teddybear;beer;39;liefde;20;lief;12;249;0;36;91
knuppel;club;politie;22;slaan;19;hout;19;270;3;36;105
koala;koala;australie;30;beer;27;beertje;18;306;2;36;92
koe;cow;melk;69;wei;23;gras;21;270;3;28;68
koek;cookie;lekker;41;chocolade;26;eten;18;270;6;37;98
koekje;biscuit;lekker;39;chocolade;20;zoet;14;246;0;27;89
koekoek;cuckoo;vogel;67;klok;38;geluid;14;267;3;23;91
koets;carriage;paard;58;assepoester;33;paarden;20;270;4;28;94
koetsier;driver / coachman;paard;42;koets;39;paarden;16;246;0;26;81
koevoet;crowbar;inbreken;27;inbraak;16;ijzer;15;267;13;36;90
koffer;suitcase / trunk;vakantie;37;reis;36;reizen;23;291;0;27;96
koffie;coffee;zwart;40;melk;26;warm;21;270;2;30;81
koffiekoeken;danish pastry;bakker;31;zondag;28;lekker;27;255;0;31;77
koffiezet;percolator;koffie;38;geur;15;zwart;14;270;6;38;92
kogel;bullet;geweer;48;dood;24;oorlog;18;246;2;27;74
kogelstoten;shot-put;sport;29;zwaar;24;atletiek;17;270;11;34;104
kok;cook;eten;62;restaurant;38;muts;30;267;3;24;70
koken;to cook;eten;35;lekker;27;water;13;267;4;30;93
kokosnoot;coconut;eiland;35;melk;26;palmboom;21;270;1;34;79
kom;bowl;sla;21;eten;19;soep;19;270;16;36;107
komkommer;cucumber;groen;72;groente;29;lang;27;270;4;29;72
komodo;Komodo dragon;kast;15;varaan;12;eiland;9;321;141;22;110
konijn;rabbit;oren;15;wit;15;zacht;14;267;2;42;108
koning;king;kroon;41;koningin;40;albert;21;270;3;28;83
koningin;queen;koning;43;kroon;22;paleis;15;246;2;31;82
kooi;cage;vogel;44;tralies;21;gevangen;17;270;6;28;88
kookpot;pot;eten;52;vuur;19;koken;14;270;4;34;88
kool;cabbage;groente;23;bloemkool;21;zwart;15;306;7;43;112
koord;rope;touw;35;circus;16;dansen;16;270;6;39;115
koorts;fever;ziek;66;warm;38;bed;18;261;3;25;55
kop;cup/mug;hoofd;51;dier;22;munt;17;249;6;29;86
kort;short;lang;47;haar;25;klein;19;270;11;29;90
kostuum;suit;das;25;feest;19;galabal;13;270;1;38;103
koud;cold;winter;54;ijs;38;sneeuw;36;270;1;25;71
kous;stocking;sok;31;voet;30;schoen;24;246;8;34;91
kraai;crow;zwart;80;vogel;55;geluid;7;273;3;25;85
kraaien;to crow;zwart;37;vogel;35;haan;28;270;17;22;91
kraam;stall;markt;48;kermis;23;baby;12;273;23;34;93
kraan;faucet;water;63;bouwwerf;7;hoog;7;246;1;31;108
krab;crab;zee;67;kreeft;20;lekker;15;309;4;34;89
kreeft;lobster;rood;44;zee;31;lekker;27;309;2;29;103
krekel;cricket;lawaai;21;insect;19;groen;17;267;5;33;102
krijt;chalk;bord;78;wit;45;school;38;270;1;21;61
krik;jack;auto;57;pech;18;band;15;246;33;24;81
krokodil;crocodile;groen;37;tanden;34;gevaarlijk;28;270;1;29;86
krokus;crocus;bloem;53;vakantie;44;lente;31;252;4;19;61
krom;crooked, bent;banaan;44;recht;38;scheef;24;267;21;19;84
kroon;crown;koning;56;goud;14;koningin;13;246;1;32;98
kruid;herb;eten;26;tuin;20;peper;15;273;0;38;99
kruis;cross;jezus;44;kerk;20;geloof;12;249;7;29;113
kruiwagen;wheelbarrow;tuin;41;werken;26;wiel;17;270;1;32;102
kruk;stool;bar;30;zitten;18;stoel;17;273;2;39;118
kuif;forelock / crest;gel;37;haar;34;kuifje;29;246;8;26;85
kuiken;chicken;kip;65;geel;38;ei;38;246;0;21;48
kuisen;to clean;dweil;21;borstel;20;water;17;267;6;40;100
kurk;cork;wijn;63;fles;34;vloer;23;246;3;22;71
kurketrekker;bottle opener;wijn;73;fles;22;kurk;20;246;1;29;87
kus;kiss;liefde;42;lippen;28;mond;18;267;4;27;82
kussen;pillow;slapen;36;bed;26;zacht;18;246;1;32;78
kwaken;to quack;eend;53;kikker;29;vijver;18;246;6;26;78
kwark;quark;yoghurt;23;wit;22;kaas;12;273;50;32;90
laars;boot;regen;21;winter;13;bot;10;255;1;37;116
laarzen;boots;regen;40;modder;39;groen;22;267;4;27;100
ladder;ladder;klimmen;17;hoog;16;trede;13;258;7;37;103
lade;drawer;kast;59;schuif;31;rommel;28;324;3;40;110
lama;llama;spuwen;30;dier;25;kameel;21;267;7;28;89
lamp;lamp;licht;77;warmte;11;warm;7;246;1;33;89
land;land;belgie;36;zee;10;grond;10;246;2;40;122
landbouw;agriculture;boer;51;tractor;31;veld;13;246;0;30;85
landkaart;map;reizen;24;wegen;13;belgie;10;249;2;40;113
lang;long;kort;44;groot;21;haar;18;270;16;30;115
lat;ruler;meten;41;school;18;hout;9;246;0;35;90
lava;lava;vulkaan;64;heet;19;warm;19;246;2;27;72
lawaai;noise;muziek;18;geluid;17;luid;9;306;8;56;155
leer;leather;koe;27;jas;19;zetel;17;306;7;43;123
leeuw;lion;zoo;16;afrika;15;koning;15;270;0;41;105
leger;army;oorlog;34;groen;23;soldaat;16;255;0;32;100
leguaan;iguana;groen;38;reptiel;30;hagedis;16;270;11;32;97
lekker;tasty;eten;41;snoep;18;chocolade;15;267;10;32;110
lelijk;ugly;mooi;24;vies;20;dik;11;246;5;33;128
lenig;lithe; supple;turnen;62;ballet;20;soepel;11;270;12;33;106
lente;spring;zon;38;bloemen;27;groen;22;267;2;31;98
lenzen;lenses;bril;54;ogen;46;zien;19;258;3;21;91
lepel;spoon;soep;58;vork;46;mes;31;270;2;20;63
leraar;teacher;school;38;les;27;saai;16;267;4;35;95
les;lesson;saai;31;leren;25;school;20;270;2;37;102
lezen;to read;boek;77;letters;12;bril;10;276;3;36;92
libel;dragonfly;water;66;vijver;49;blauw;36;489;5;51;136
licht;light;lamp;45;zon;34;donker;23;246;4;27;88
lief;sweet;zacht;16;leuk;10;liefde;10;267;12;40;121
liefde;love;rood;26;hart;16;mooi;14;246;0;37;112
lieveheersbeestje;ladybug;rood;56;klein;25;vliegen;17;270;1;28;92
lijm;glue;pritt;29;plakken;28;kleven;16;246;3;29;91
lijn;line;streep;25;bus;25;recht;19;246;2;36;111
limoen;lime;groen;40;citroen;37;zuur;36;270;14;20;65
lippen;lips;rood;54;kussen;30;mond;29;282;1;24;60
lippenstift;lipstick;rood;59;vrouw;32;lippen;16;249;2;24;81
lolly;lolly;lekker;34;snoep;32;zoet;22;270;3;32;77
loodgieter;plumber;water;26;buizen;21;man;11;270;3;33;124
look;garlic;stank;27;lekker;24;eten;11;270;3;37;106
lopen;to run;sport;20;moe;11;rennen;9;246;1;39;103
lucht;air;blauw;49;wolken;23;ademen;13;270;5;33;82
luchtballon;(hot air) balloon;hoog;28;lucht;28;vliegen;20;270;6;33;98
lucifer;matches;vuur;67;brand;13;sigaret;13;246;2;29;75
luier;diaper;baby;75;stank;22;pamper;18;246;0;26;77
luipaard;leopard;snel;26;dier;16;kat;13;246;2;36;90
luis;louse;haar;51;jeuk;39;klein;14;273;4;27;90
lychee;lychee;fruit;28;lekker;15;vrucht;12;279;50;36;87
maan;moon;nacht;40;zon;25;sterren;16;267;0;32;80
madeliefje;daisy;bloem;58;wit;27;gras;14;282;7;31;92
magie;magic;tovenaar;38;toveren;21;heks;17;261;1;39;105
magneet;magnet;ijzer;19;aantrekking;14;aantrekkingskracht;12;246;7;24;106
mais;corn;geel;45;veld;39;popcorn;21;267;3;26;97
man;man;vrouw;62;groot;13;jongen;11;270;14;30;90
mand;basket;riet;41;fruit;29;was;19;285;4;31;111
mandarijn;tangerine ;oranje;43;fruit;34;sinterklaas;29;267;7;28;62
manen;mane;paard;58;leeuw;29;haar;14;270;16;27;100
mango;mango;fruit;51;exotisch;21;lekker;18;270;6;29;92
mantel;coat;jas;30;winter;28;warm;23;246;2;32;83
map;map;school;20;papier;16;kaart;13;264;2;37;123
margriet;marguerite;bloem;65;hermans;24;wit;19;249;5;23;82
markt;market place;fruit;19;kraam;19;vis;11;267;3;38;125
marktkramer;stallholder;eddywally;16;markt;14;roepen;12;270;6;38;126
masker;mask;carnaval;52;venetie;11;verbergen;9;246;2;28;117
massage;massage;olie;34;ontspanning;12;ontspannen;8;246;2;40;103
mat;mat;deur;25;tapijt;14;vloer;12;246;2;32;111
matroos;sailor;zee;46;schip;43;boot;16;246;0;25;88
medaille;medal;goud;58;winnen;27;sport;18;282;3;27;82
medicijnen;medicin;dokter;46;ziek;41;apotheek;13;270;5;25;83
meer;lake;water;39;zwemmen;15;veel;13;249;2;32;100
mees;chickadee;vogel;72;klein;20;boom;11;276;4;36;93
meeuw;seagull;zee;72;vogel;43;strand;16;270;5;25;73
mei;May;lente;37;maand;26;ei;22;246;1;23;79
meikever;cockshafer;insect;27;lente;20;mei;13;273;6;37;112
meisje;girl;jongen;35;mooi;16;vrouw;15;267;20;29;112
melk;milk;koe;64;wit;48;lekker;10;270;0;30;72
meloen;melon;fruit;32;lekker;29;zomer;25;267;0;27;71
mens;human;dier;23;man;19;vrouw;17;267;12;37;121
merel;blackbird;vogel;67;zwart;29;fluiten;12;270;6;23;75
mes;knife;scherp;43;snijden;34;vork;28;267;6;20;69
metaal;metal;ijzer;36;hard;20;grijs;17;255;1;30;103
meten;to measure;lat;40;lengte;21;meter;19;258;3;28;82
metrostel;subway train;trein;15;ondergronds;13;donker;12;267;18;38;108
meubel;furniture;stoel;51;kast;46;tafel;43;306;0;23;85
micro;microphone;zingen;25;klein;21;geluid;17;246;5;31;97
microgolf;microwave oven;eten;92;warm;50;snel;25;489;7;41;156
microscoop;microscope;klein;35;onderzoek;22;labo;17;258;4;37;99
middeleeuwen;middle ages;kasteel;30;ridders;27;ridder;23;276;0;26;129
mier;ant;klein;44;insect;16;zwart;13;270;6;37;103
mijn;mine;steenkool;13;kolen;12;ik;11;246;5;34;128
milkshake;milkshake;melk;38;banaan;34;ijs;19;270;0;27;70
minister;minister;politiek;29;regering;20;verhofstadt;17;267;4;39;109
mis;mass;kerk;63;fout;36;verkeerd;17;246;0;24;73
mitrailleur;machinegun;oorlog;48;geweer;24;leger;19;279;16;25;92
mixer;mixer;soep;22;keuken;21;milkshake;17;267;6;37;106
modder;mud;vuil;51;bruin;27;water;14;270;5;30;86
moeder;mother;vader;22;mama;19;liefde;13;246;2;34;120
moeilijk;difficult;examen;20;makkelijk;15;gemakkelijk;13;267;19;30;138
moer;nut;vijs;36;bout;24;sleutel;19;249;15;28;100
moersleutel;wrench;garage;21;auto;18;fiets;15;270;6;38;107
molen;mill;wieken;33;wind;31;graan;30;276;3;33;82
mond;mouth;tong;44;lippen;35;tanden;29;270;0;20;52
mondharmonica;harmonica;muziek;58;instrument;21;blazen;11;270;7;33;113
mooi;beautiful;natuur;13;meisje;13;lelijk;13;270;9;45;129
mossel;mussel;zee;52;schelp;21;eten;18;303;2;31;104
mot;moth;vlinder;26;kleren;14;kast;14;273;11;38;96
moto;motorbike;snel;24;helm;23;snelheid;21;270;8;32;110
muffin;muffin;chocolade;31;lekker;24;cake;15;285;13;33;93
mug;mosquito;jeuk;26;zomer;20;bloed;15;264;1;37;91
muis;mouse;kat;34;grijs;30;kaas;30;270;2;29;74
muizeval;mouse trap;kaas;52;muis;37;dood;21;246;0;22;77
munt;coin;geld;43;euro;17;kruid;17;246;2;30;97
mus;sparrow;vogel;60;klein;26;vliegen;11;270;2;37;91
muts;beanie;winter;48;warm;38;sneeuw;25;267;3;22;51
muur;wall;huis;39;baksteen;22;steen;19;270;7;28;88
muziek;music;radio;23;cd;17;dansen;12;270;1;38;134
muziekinstrument;musical instrument;piano;43;gitaar;42;viool;19;270;5;28;93
muzieknoot;(musical) note;do;28;re;20;mi;17;246;0;28;90
naaien;to sew;naald;51;draad;42;naaimachine;19;258;1;23;77
naaimachine;sewing machine;naald;27;draad;26;stikken;19;249;8;25;82
naald;needle;draad;47;naaien;42;prik;16;258;1;25;89
nacht;night;donker;68;sterren;36;maan;31;270;1;20;45
nagel;nail;hamer;37;vinger;26;nagellak;20;270;8;31;94
nagels;nails;bijten;22;nagellak;21;knippen;19;276;7;29;96
nat;wet;regen;56;water;45;droog;14;270;2;25;81
natuur;nature;groen;47;bos;33;boom;22;321;4;33;116
nectarine;nectarine;fruit;34;sappig;24;lekker;21;267;4;26;68
nek;neck;hals;34;hoofd;23;ketting;19;270;11;29;87
nest;nest;vogel;71;ei;35;boom;24;270;6;24;63
net;net;vissen;30;proper;29;vis;19;270;5;34;105
neus;nose;ruiken;25;zakdoek;20;snot;19;306;2;44;110
neushoorn;rhinoceros;grijs;30;afrika;26;dier;18;270;1;34;94
nijlpaard;hippopotamus;dik;29;water;25;zoo;24;267;5;29;70
noordpool;Northpole;koud;54;ijs;40;ijsbeer;27;267;0;20;56
noot;nut / note;muziek;44;eten;21;kraken;21;267;2;37;95
noten;notes;muziek;37;boom;27;eten;13;270;5;31;110
notenbalk;staff;muziek;71;noten;18;solsleutel;15;246;4;25;68
notenkraker;nutcracker;noot;24;noten;22;hard;13;270;7;35;109
ober;waiter;cafe;28;restaurant;21;drank;20;249;2;31;96
ochtend;morning;zon;26;moe;19;ontbijt;16;246;1;31;81
oester;oister;zee;34;schelp;26;parel;19;306;2;33;96
ogen;eyes;blauw;38;mooi;18;zien;17;246;1;28;73
olie;oil;auto;20;vettig;15;bakken;11;249;3;48;111
oliebol;doughnut ball;kermis;55;vettig;23;lekker;21;246;2;22;73
oliespuit;oilcan;auto;21;zwart;15;vettig;14;267;46;29;104
olifant;elephant;grijs;43;groot;41;slurf;34;264;3;25;70
olijf;olive;groen;50;olie;36;lekker;21;306;0;30;86
oma;grandma;oud;42;opa;33;lief;28;273;3;36;90
omelet;omelet;ei;68;pan;33;spek;18;270;3;24;71
onderbroek;underpants;wit;30;string;21;slip;18;270;18;30;100
ondergoed;underwear;wit;26;bh;20;onderbroek;17;270;5;35;104
ondergronds;underground;metro;44;donker;27;tunnel;17;270;4;28;90
onderlegger;place mat;tafel;73;eten;53;glas;38;591;7;65;181
ongezond;unhealthy;roken;22;dik;19;vet;18;246;1;33;87
ontbijt;breakfast;koffie;34;brood;26;cornflakes;15;306;1;39;103
ontploffing;explosion;bom;35;vuur;25;knal;18;249;1;30;91
ontspanning;recreation;sport;15;rust;14;tv;12;273;1;44;107
oog;eye;bril;33;zien;32;blauw;20;246;2;30;79
ooievaar;stork;baby;35;vogel;29;nest;25;270;0;31;78
oor;ear;horen;38;oorbel;26;luisteren;19;273;7;34;87
oorbel;earring;oor;41;mooi;27;goud;24;375;3;37;130
oorlog;war;dood;15;geweld;14;wapens;14;273;1;41;104
oorworm;earwig;vies;40;oor;16;insect;16;267;25;36;110
opstaan;to stand up;moe;29;bed;27;wekker;26;258;1;27;82
opvoedster;educator;kinderen;35;vrouw;28;kind;12;267;3;31;132
oranje;orange;appelsien;34;nederland;26;kleur;23;270;14;23;81
orchidee;orchid;bloem;64;mooi;20;wit;12;246;5;27;100
oren;ears;horen;42;luisteren;19;geluid;13;270;4;32;93
orgel;organ;kerk;77;muziek;45;piano;13;264;3;23;82
orka;orca;zee;38;groot;24;water;23;270;2;23;65
orkest;orchestra;muziek;51;dirigent;26;viool;15;270;9;39;89
oud;old;oma;21;jong;16;grootouders;15;246;3;30;93
oudheid;antiquity;geschiedenis;29;romeinen;19;grieken;16;246;6;30;118
oven;oven;warm;53;pizza;26;eten;24;270;1;27;86
paard;horse;dier;16;rijden;15;ruiter;12;270;11;37;120
paarden;horses;manege;19;stal;12;zadel;11;270;4;41;134
paardrijden;horseback riding;paard;27;zadel;19;sport;13;276;1;34;120
paars;purple;kleur;37;blauw;11;anderlecht;10;270;21;34;114
pad;toad;kikker;38;groen;25;vijver;15;249;2;28;85
paddestoel;mushroom;kabouter;46;bos;43;giftig;15;270;10;26;80
paella;paella;rijst;46;spanje;43;vis;19;264;8;23;68
pak;suit / package;kostuum;36;cadeau;21;slaag;13;246;7;30;106
pakje;parcel;cadeau;29;strik;18;post;15;252;3;32;93
palet;palette;verf;26;schilder;24;hout;21;276;10;32;110
paling;eel;vis;45;groen;28;glad;25;267;2;22;66
pallet;palette;hout;20;schilder;19;verf;18;246;5;31;99
palmboom;palm tree;strand;47;kokosnoot;31;zon;27;300;1;24;88
pan;pan;eten;33;vlees;24;koken;24;270;0;28;63
panda;panda;beer;60;bamboe;25;china;15;306;1;31;89
panfluit;pan flute;muziek;51;hout;10;instrument;8;270;15;29;133
pannenkoek;pancake;suiker;44;lekker;35;eten;17;255;3;27;71
pantoffel;carpet slipper;warm;24;sloef;18;winter;15;246;5;33;96
papaya;papaya;fruit;29;vrucht;27;exotisch;27;267;37;27;84
papegaai;parrot;vogel;38;praten;27;kleuren;22;267;4;33;90
paperclip;paperclip;papier;58;ijzer;18;bureau;14;246;4;26;93
papfles;baby bottle;baby;76;melk;49;warm;8;246;0;24;69
papier;paper;schrijven;33;wit;31;pen;26;267;1;29;97
paprika;pepper;rood;50;chips;26;groen;18;270;9;23;79
parachute;parachute;vliegtuig;37;springen;35;vallen;23;255;5;33;82
paraplu;umbrella;regen;77;nat;18;wind;10;246;3;24;92
parijs;Paris;eifeltoren;30;eiffeltoren;22;frankrijk;16;246;0;34;91
park;park;gras;29;groen;27;bomen;20;270;2;37;84
parkiet;parakeet;vogel;53;geel;48;kooi;40;267;1;20;74
parlement;parliament;politiek;26;regering;21;minister;17;246;3;28;108
passievrucht;passion fruit;lekker;29;fruit;25;exotisch;13;270;10;38;102
pasta;pasta;spaghetti;48;italie;38;lekker;24;270;0;30;81
pauw;peacock;staart;22;veren;21;kleuren;21;270;3;27;79
peer;pear;fruit;50;appel;47;groen;17;270;3;23;87
pelikaan;pelican;vogel;49;bek;28;vis;28;267;6;31;85
penseel;paintbrush;verf;58;schilderen;36;schilderij;19;246;2;20;65
peper;pepper;zout;63;niezen;22;eten;20;270;6;28;68
peperkoek;gingerbread;suiker;19;lekker;19;bruin;19;246;1;34;91
periscoop;periscope;duikboot;34;kijken;15;water;12;246;37;30;93
perzik;peach;fruit;43;zoet;19;zacht;19;273;3;34;88
pesto;pesto;pasta;37;groen;27;italie;22;273;39;22;64
pet;cap;hoofd;39;zon;38;hoed;31;402;3;46;143
peterselie;parsley;groen;57;soep;21;groente;19;270;11;26;92
piano;piano;muziek;45;toetsen;22;vleugel;15;264;1;34;87
pijl;arrow;boog;68;indiaan;28;schieten;11;246;1;23;82
pijn;pain;bloed;18;wonde;15;ziekenhuis;13;270;18;39;133
pijp;pipe;tabak;35;rook;30;roken;27;249;1;29;99
pikant;savoury;peper;22;eten;18;saus;18;270;16;30;102
pilaar;pillar;kerk;24;zuil;19;steun;19;255;8;32;94
pillen;pills;ziek;31;dokter;18;drugs;18;246;3;34;83
